Date,Surf
2020-02-03,2.24906
2020-02-04,1.96584
2020-02-05,2.1491
2020-02-06,2.33236
2020-02-07,2.04914
2020-02-08,1.72428
2020-02-09,2.14077
2020-02-10,2.10745
2020-02-11,1.8992
2020-02-12,2.4573
2020-02-13,1.79092
2020-02-14,1.81591
2020-02-15,1.5077
2020-02-16,1.40774
2020-02-17,1.45772
2020-02-18,1.59933
2020-02-19,1.23281
2020-02-20,1.44939
2020-02-21,1.04123
2020-02-22,1.02457
2020-02-23,1.01624
2020-02-24,1.10787
2020-02-25,1.43273
2020-02-26,1.21615
2020-02-27,1.1162
2020-02-28,1.19117
2020-02-29,1.21615
2020-03-01,1.65764
