댓글
지금 신천지 사태로 해외에 있는 많은 한국인들 및 해외 일터로 돌아오는 많은 인원들이 정말 많은 고충을 겪고 있습니다... 이 사태가 단지 신천지의 신앙? 활동을 위한 그 이기적인 것으로 한국의 경제와 해외에서 일을 해야 하는 많은 사람들 정말 힘이듭니다... 강제격리를 당해야 하고 ... 어린아이를 두고 격리 당해야 하는 것을 겨우 겨우 설득하고 하여 ... 부모중 한명이라도 남아 격리를 당하고 단순히 출생지가 대구 경북등등 이라는 이유로 무조건 격리를 당하고 있습니다...
영생불사하다는  늙은이가 모양빠지게 마스크는
대국민 사망 기원 두 번 큰절인가보다
자기는 죽지않고 영원히 산다면서요? 벌써 귀(청력)가 죽어서 대변인 한테 동시통역 들으시더라구요? ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 사기네요? 이 사기꾼아 저딴사람 믿겠다고 14만 4천명안에 들어가겠다고 발버둥친 니들도 돌대1가1리들이다. 어휴ㅉㅉ
마스크는 왜ㅎㅎ 죽기싫구나ㅎㅎ
중국발 우한폐렴을 대구 신천지 박근혜 대통령이랑 엮을라고?ㅋ 문제인 대선 광고해줬던게 신천지 천지일보였다~ 중국발 우한폐렴이 대구 탓이냐! 애초에 의사협회 말 무시하고 중국인들 입국금지 안한 문제인이 우한폐렴이 퍼지니까 중국 책임론에서 회피 할려고 신천지 탓으로 물타기하는거 안보이나?
역시 신천지=새누리당=대구 다 힌통속이었네. ㅋㅋㅋㅋ 문재인 대통령님 국정 운영 어렵게 하려고 일부러 퍼트린거 아닌지 킹리적 갓심 중 ㅋㅋ
"왜 바뀐애 시계를 차고 나왔을까? 아는거 많다는 수구꼴통들에 대한 경고일까? 치매는 아직 아닌 것 같다. 포교 숫법이 정상적인 종교집단이 아니다. 독재도 혼자 하는게 아니다. 이승만, 박정희, 전두환, 노태우, 이명박, 박근혜 정권들이 기득권들의 잇권을 인정해 주면서 충성을 유도해 독재권력을 유지했다는 생각이 떠오른다. 그러니까 친일이 아직도 청산이 안된 것이지! 그렇다면 문재인 대통령 탄핵을 하려는 기득권들이 누구들이고 그 기득권들이 어떠한 특혜를 누려왔는지 국민들께서 아시면 되겠네!"
문재앙이 중국인 입국 금지안해서 이 사달난 걸 이만희한테 책임 다 떠넘기네ㄷㄷ
저기요 박근혜 시계는 은색입니다 저거 누가 만들어 안에 반팔입혀 일부러 보이게 하려는 쇼일뿐
긴급속보현재 좌음에선  만희가  찬 시계가지고 조선족 깨문이들 음모론 쓰는중~ㅋㅋㅋㅋㅋㅋㅋㅋ
이제  최종보스 문죄앙 하나 남았다  문죄앙 폐렴
사죄말고 책임지고 옥에 들어가세요. 차라리 박근혜를 빼라
여론몰이.. 마녀사냥질.. 뉴스1.. 이 졸렬한 좌빠리 나팔수 찌라시 언론아.. 전염병 발생지 중국에 대한 원인분석은 못할망정.. 내국인 마녀사냥질로 매장하는 작태를 범한다.. 어째 죽창들고 설쳐대는 무엇이 연상된다.. 수많은 피해 당사자들을 보듬어 주지는 못할망정.. 박원순.. 문재인 정권의 내편 아니면 죽여라.. 외치는 폭군의 똘마니로 느껴진다..신천지 교인은 인간이 국민이 아니냐??.. 언론의 참담한 일면이다..
문재인이 써먹는 카드가 신천지 신천지 이단이랑 짝짜꿍해서 기독교 핍박 야당 탄압 민주주의 싹밟기 민주당 문재인 신천지 뭔가 연결돼있죠? 근데 야당에 뒤집어씌움 얘넨 항상 지들이 하는거 뒤집어씌우기 잘함
난 종교인이 저렇게 사과하는거 태어나서 처음봤다근데 정부는??
코디문(코로나디져도문재인)이놈들아 정신똑바라로 차려라.
신천지 = 새누리당 = 자한당 = 통닭당
박근혜시계
신천지로 끝까지 물고 늘어지네.
에라이!  박근혜 파들아!
최태민 박근혜의 영생교가 이만희의 신천지로 들어가 그 모양이 변형 된 듯 싶다. 박근혜 정권에서 엄청나게 성장한 신천지...... 박근혜와 이만희는 무슨 관계에 있었나. 그 관계가 궁금하다.
천년묵은   이무기같다
진짜 개돼지들 또 이제 박근혜시계 공작에 넘어가네 ㅋㅋㅋ
브리핑 내용이 초등학교 회장선거보다 말주변이 없네보는내내 웃음밖에 안나온다왜 늙어서 영생을 부르짓나?차라리 한 40먹었을때부터 안늙고 유지해야지이젠 곧 저승으로 갈날이 멀지않았네
정부에 고맙다고 몇번 말하고 두번 절 짝퉁시계 노출 ㅋ 누가시켰나요 쇼의 달인이 시킴?
잘못 알고 들어갔다가 잡혀있는 신도들이나 풀어주시죠??? 부모들이 통곡합니다.....
왜 국민이 아니라 정부에 용서를 구할까? 사전조율이라도 있었나?
신천지 해체하고 그돈으로 너네 신도들 치료비 쓰면 사과한다는말 믿을께 이 미친 악마야
만믜야 영생하냐?버럭 고마해라 나 화났다 우띠 ㅋ 집에들가라 소리지르고 싶지 않아요
꼼쳐놓은  비자금   내놓으세요
죄송하면 5000억 기부해라 대구 경북시민  마스크 값으로
정부가 뭔데 정부한테 사죄를 해?국민한테 해야지.돈먹었냐???박근혜 시계는 왜 차고 나와?
박그네시계  이거잘보이게 찍어주시요!오늘기자회견  이시계가  모든걸 대신답변했습니다핑크색당의원들  신천지에서 정치자금줄 대놓고 착복한쉐이크들은지금쯤   쫄아있겠네!! 기자회견끝!!!  뒷일은 핑크당 내돈먹은놈들이  알아서 해라 이거였구나!!그동안내돈먹은놈들  오늘제삿날로  정한다  그런뜻에서  큰절두번했구나!! 이제 알것다
"데이타 베이스를 통틀어 가져간 경기도 및  대구, 정부에서숨겼느니, 틀렸느니 이야기하고 있으니 기가찬다정치인들이란 거짓말은 기본 철학인가 싶다"
자식한테 얼마를 물려주려고 그러냐
박근혜시계?  좌파의 연출 아니겠는가?! 그것도 보란듯이!  좌파는 숨쉬는 것도 거짓 인 집단
여전엔 국가기강 허무는 죄인들은 9족을 사형시켜습니다. 이만희는 국가위상 경제 국민목숨 정신교린.. 너무 심합니다. 용서하면 안됩니다. 사죄말고 구체적으로 책임을 져야합니다! 박근혜도 자기가 한일은 아니지만 지도자로서의 책임을 다하지 못했기에 들어갔습니다. 이만희는 직접 한 대표라 그냥 넘어가면 안됩니다.
치매걸린 틀딱이 교주라고잉~~!!
기사내용중에 '감염 확산을 위해 최선을 다했지만???확산을 위해? 제 눈이 이상한가요?
더 빨리 나왔어야지지금 다 퍼뜨려놓고. 뭔. 협조?
뉴스 토픽  2위  진심으로 사죄  3위 국민께 사죄  ㅋ  아니 이런 제목으로 검색 하는 사람들이 있다니 신기하다..    일부러  순위에 올린거 아니고?   뉴스검색 할대 진짜 저렇게 검색하나?
"정부에 협조해 줫으니 살려주것네ㅋㅋ조작,선동,연출 하난 기가막히지ᆢ첨엔 먹혓는데 이젠 문빠구리들 말곤 씨도 안먹히네?ㅋ"
"""신천지가 독박쓰면 다같이 죽는거다""라는  무언의 압박으로 보이는데? 이만희 토사구팽당할까봐 헬프치는중?"
국론분열이 일상이군 좌우 모두 꼴보기 싫다
문대통령님 까지 마쇼! 신전지 찌거기러기들아~~~~~~~~~~~~
통합당과 연결을 과시하기위해 시계 보인것이고 방지 위해 최선을 다했고 머했는데 당국에 협조했다고 축소명단 주고 협조라고 확산 막는데 급급했다고 숨기느라 급급했지 정부가 너희 교회 위한 노력에 감사한다고 국민에 확산방지 때문이지 착각마라 구속 될까봐 선수 친거지
두번 절하는거는 죽은 사람한테 하는건데 우리가 디졌냐? ㅡㅡ
이새끼  선수치네
개소리로 거짓말 까지 하는구나.
시계 꼭 눈에 뛰게하라고 정부에서 주문한듯 ㅋㅋㅋ 셔츠반팔입으셨네 ㅋㅋ 국민개돼지로 보는 정부 #중국폐렴입국금지 세월호 한번당했으면 더 안당하지 ㅋㅋㅋ
다 필요없고.도주우려.. 똘사이비. 대국민 살인자. 빨리. 구속수사 하세욧.!!!
확실한거는 국회의원이든 공무원이든 돈 받아쳐먹은 놈이 분명 있는것 같은 느낌임...
감방가기 무서웠나보지...진작좀 협조좀해서 신천지 좀 막지그랬니...왜 여러사람 목숨 다 걸게 만드니...
막장 드롸마..ㅋㅋㅋㅋ
아 시  바   절라 산송장이네영생은 개풀
여기에 손가락 아래 누른사람 신천지네
왜 두번 절한거지...?.?
신천지 욕은 대깨문 제외한 일반 국민들이 하는거고 정부는 욕할 자격 없어 똑같난 놈들임  정부 하는 꼴 보면 축구 못하는 사람이 수비할때 공만 계속 쫓아다니는 그런 모습임
시계와  반팔  와이셔츠는  무언가  쇼다   뭘말하는지  노인이  이계절에반팔 셔츠로  시계를  보여주기위해  무단히애썼다?
"박근혜 시계 일부러 찬 거 같은데, 이쯤되면 민주당 문재앙 정권이랑 무슨 관계있는지 조사해봐야 한다"
이시국에 박근혜시계 찬것이 정상인가?? 문재인정권에서? 박근혜가 아무 힘도 없는 이시국에?? 그리고 아무리 생각해도 이상하지 않아? 문재인이 그거 차면 욕 덜먹으니 새누리+ 신천지 가주면 언론조작 편할거라 생각한거냐? 국민들 또 선동질하네
왠지 이젠 늙어서 바지사장 느낌인데실세는 누구냐 파헤쳐라
이 기자회견의 목적은 박근혜 시계를 보여주기 위한 쇼였을뿐..
이만희 뒤에 배후가 누굴까
차이나 게이트 또 시작이네
